Villa Serenity|8500000|5|6|An exquisite villa overlooking the ocean with modern amenities and spacious interiors.|assets/pictures/h1.jpg;assets/pictures/h2.jpg|0|For Sale|Cape Town|0
Modern Loft|3200000|2|2|A chic modern loft located in the heart of the city, perfect for young professionals.|assets/pictures/h3.jpg|0|For Sale|Johannesburg|0
Suburban Family Home|1500000|3|2|A comfortable family home in a quiet suburb with a large backyard.|assets/pictures/h4.jpg|0|For Sale|Pretoria|1
Luxury Penthouse|12000000|4|5|A stunning penthouse with panoramic city views and top-notch facilities.|assets/pictures/h5.jpg;assets/pictures/h6.jpg|0|For Sale|Sandton|0
Beachfront Cottage|4500000|3|3|A cozy cottage right on the beach, ideal for a holiday getaway.|assets/pictures/h7.jpg|0|For Sale|Durban|0
Countryside Estate|9500000|6|7|An expansive estate in the countryside with beautiful gardens and a private lake.|assets/pictures/h8.jpg;assets/pictures/h9.jpg|0|For Sale|Stellenbosch|0
Urban Apartment|2200000|2|1|A convenient apartment close to all amenities and public transport.|assets/pictures/h10.png|0|For Sale|Cape Town|1
Mountain Retreat|6700000|4|4|A serene mountain retreat with breathtaking views and hiking trails.|assets/pictures/h11.png|0|For Sale|Drakensberg|0
Golf Estate Home|5500000|3|3|A modern home located within a prestigious golf estate.|assets/pictures/h12.png|0|For Sale|George|0
Historical Manor|8000000|5|5|A beautifully restored manor with rich history and classic architecture.|assets/pictures/h13.png|0|For Sale|Grahamstown|0
City Studio|1800000|1|1|A compact studio apartment ideal for first-time buyers or investors.|assets/pictures/h14.png|0|For Sale|Johannesburg|0
Lake House|6000000|4|3|A tranquil lake house perfect for nature lovers and relaxation.|assets/pictures/h15.png|0|For Sale|Hartbeespoort|0
Modern Townhouse|3500000|3|2|A sleek townhouse in a gated community with excellent security.|assets/pictures/h16.png|0|For Sale|Midrand|0
Eco-Friendly Home|4000000|3|2|An environmentally friendly home with solar panels and rainwater harvesting.|assets/pictures/h17.png|0|For Sale|Cape Town|0
Riverside Cabin|2800000|2|2|A charming cabin by the river, great for weekend escapes.|assets/pictures/h18.jpg|0|For Sale|Sabie|0
Penthouse Suite|9500000|3|4|An exclusive penthouse suite with luxury finishes and private elevator access.|assets/pictures/h19.jpg|0|For Sale|Umhlanga|0
Seaside Villa|10500000|5|6|A magnificent villa with direct beach access and stunning ocean views.|assets/pictures/h20.jpg|0|For Sale|Plettenberg Bay|0
